salary_id,employee_id,salary,change_reason,effective_date
1,1001,51844,Bonus,01-01-2019
2,1001,50245,Increment,01-01-2020
3,1001,52123,Promotion,01-01-2021
4,1001,47618,Bonus,01-01-2022
5,1001,40855,Bonus,01-01-2023
6,1001,50804,Increment,01-01-2024
7,1002,115595,Increment,01-01-2019
8,1002,110629,Increment,01-01-2020
9,1002,122373,Increment,01-01-2021
10,1002,122348,Increment,01-01-2022
11,1002,117397,Bonus,01-01-2023
12,1002,128847,Increment,01-01-2024
13,1003,83628,Bonus,01-01-2019
14,1003,72884,Promotion,01-01-2020
15,1003,68779,Bonus,01-01-2021
16,1003,67855,Bonus,01-01-2022
17,1003,75684,Increment,01-01-2023
18,1003,67945,Increment,01-01-2024
19,1004,115904,Increment,01-01-2019
20,1004,105492,Promotion,01-01-2020
21,1004,102481,Promotion,01-01-2021
22,1004,102875,Increment,01-01-2022
23,1004,121617,Promotion,01-01-2023
24,1004,100425,Bonus,01-01-2024
25,1005,37928,Promotion,01-01-2019
26,1005,43711,Bonus,01-01-2020
27,1005,26650,Promotion,01-01-2021
28,1005,27150,Bonus,01-01-2022
29,1005,34302,Increment,01-01-2023
30,1005,33217,Promotion,01-01-2024
31,1006,95566,Increment,01-01-2019
32,1006,95642,Promotion,01-01-2020
33,1006,78784,Increment,01-01-2021
34,1006,89647,Bonus,01-01-2022
35,1006,87850,Promotion,01-01-2023
36,1006,90535,Increment,01-01-2024
37,1007,34717,Bonus,01-01-2019
38,1007,34525,Bonus,01-01-2020
39,1007,23013,Increment,01-01-2021
40,1007,44340,Bonus,01-01-2022
41,1007,35467,Bonus,01-01-2023
42,1007,45742,Promotion,01-01-2024
43,1008,55493,Increment,01-01-2019
44,1008,58667,Bonus,01-01-2020
45,1008,52398,Promotion,01-01-2021
46,1008,50878,Promotion,01-01-2022
47,1008,49467,Promotion,01-01-2023
48,1008,38883,Promotion,01-01-2024
49,1009,111257,Increment,01-01-2019
50,1009,105284,Bonus,01-01-2020
51,1009,100362,Promotion,01-01-2021
52,1009,97361,Promotion,01-01-2022
53,1009,105008,Increment,01-01-2023
